# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Mar 19 06:55:09 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag  B_Tmag  V_Tmag  Jmag    Hmag    Ksmag
0.01471 0.00000 9.00000 0.7510547638 2.4003162384    0.751 -0.683  3.6759  4.652    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-14      0.00 7.144e-01 2.710e-01 2.588e-03 7.068e-04 6.420e-03 -1.000 1.461e-02 6.478 6.530 7.090 5.840 8.190 7.018 5.007 4.460 4.372
0.01471 0.00000 9.00000 0.8000000119 2.4187245369    0.800 -0.554  3.6957  4.630    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-14      0.00 7.150e-01 2.705e-01 2.584e-03 7.057e-04 6.411e-03 -1.000 1.459e-02 6.155 6.142 6.639 5.503 7.617 6.558 4.748 4.263 4.186
0.01471 0.00000 9.00000 0.8010122180 2.4190781116    0.801 -0.551  3.6961  4.630    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-14      0.00 7.150e-01 2.704e-01 2.584e-03 7.057e-04 6.410e-03 -1.000 1.458e-02 6.149 6.135 6.630 5.496 7.606 6.549 4.743 4.259 4.182
0.01471 0.00000 9.00000 0.8500000238 2.4350347519    0.850 -0.428  3.7149  4.607    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.52e-14      0.00 7.156e-01 2.700e-01 2.580e-03 7.045e-04 6.400e-03 -1.000 1.449e-02 5.841 5.780 6.223 5.185 7.095 6.137 4.502 4.074 4.005
0.01471 0.00000 9.00000 0.8999999762 2.4492788315    0.899 -0.309  3.7324  4.582    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.32e-14      0.00 7.162e-01 2.692e-01 2.574e-03 7.029e-04 6.385e-03 -1.000 1.452e-02 5.542 5.448 5.848 4.891 6.632 5.762 4.269 3.888 3.827
0.01471 0.00000 9.00000 0.9066367149 2.4510340691    0.906 -0.293  3.7345  4.578    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.45e-14      0.00 7.164e-01 2.691e-01 2.573e-03 7.026e-04 6.383e-03 -1.000 1.452e-02 5.503 5.405 5.801 4.853 6.573 5.715 4.238 3.864 3.803
0.01471 0.00000 9.00000 0.9499999881 2.4618122578    0.950 -0.194  3.7480  4.554    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.35e-14      0.00 7.172e-01 2.683e-01 2.566e-03 7.008e-04 6.367e-03 -1.000 1.451e-02 5.256 5.141 5.502 4.620 6.204 5.420 4.050 3.709 3.656
0.01471 0.00000 9.00000 0.9986042380 2.4726228714    0.999 -0.087  3.7618  4.524    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.63e-14      0.00 7.185e-01 2.671e-01 2.556e-03 6.981e-04 6.342e-03 -1.000 1.442e-02 4.988 4.862 5.191 4.373 5.825 5.114 3.844 3.534 3.488
0.01471 0.00000 9.00000 1.0000000000 2.4729156494    1.000 -0.084  3.7621  4.523    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.67e-14      0.00 7.185e-01 2.671e-01 2.556e-03 6.980e-04 6.341e-03 -1.000 1.441e-02 4.980 4.854 5.182 4.366 5.814 5.106 3.839 3.529 3.483
0.01471 0.00000 9.00000 1.0180330276 2.4766137600    1.018 -0.045  3.7667  4.510    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.06e-14      0.00 7.192e-01 2.664e-01 2.550e-03 6.966e-04 6.328e-03 -1.000 1.437e-02 4.883 4.755 5.071 4.277 5.681 4.998 3.764 3.465 3.421
